1: 18th century elaborated form of English Dora, meaning "gift." | female. DORINDA
1: Probably a modern variant spelling of English Jared, meaning "descent." | male. JARETH
1: Probably an English contraction of French Marcelon, meaning "little one of the sea." This name was first brought to public attention by the American actor Marlon Brando whose family is said to be of French descent. | male. MARLON
1: Probably an English variant spelling of German Wilma, meaning "will-helmet." | female. VELMA
1: Probably a Norman French double diminutive form of the German word arn "eagle," hence "tiny little eagle." | female. ARLETTE
1: Probably a variant spelling of English Darwin, meaning "dear friend." | male. DERWIN
1: Probably a variant spelling of English Kayla, meaning "slender." | female. KEILA
1: Probably a variant spelling of English Kaylyn, meaning "girl." | female. KAYLEEN
1: Probably originally an Anglicized form of French Jacques, meaning "supplanter," it is now considered a pet form of English John, meaning "God is gracious." | male. JACK
1: Rarely used feminine form of English Timothy, meaning "to honor God." | female. TIMOTHA
1: Roman Latin name derived from the word festus, meaning "festival." In the bible, this is the name of the successor of Felix, the procurator of Judea who refused to bow to the pressure of the Jews who wanted him to condemn St Paul to death for preaching. He is also known by the name Porcius. | male. FESTUS
1: Roman name derived from the Latin word scholasticus, meaning "scholar." | female. SCHOLASTICA
1: Roman name meaning "of the Tiber (river)." Occasionally used by the English. | male. TIBERIUS
1: Scandinavian form of Old Norse Hulð, meaning "hidden, obscure, secret." Variant spelling of English Huldah, meaning "mole" or "weasel." | female. HULDA
1: Scottish Anglicized form of Gaelic Aibhilï��n, meaning "little Eve." | female. AILEEN
1: Scottish habitational surname transferred to unisex forename use, composed of the Old English elements ansetl "hermitage" and leah "meadow, pasture," hence "hermitage meadow." | female. AINSLEY
1: Scottish name derived from the surname Grantham, from a place name composed of the Old English elements grand "gravel" and ham "home," hence "gravel home." | male. GRAHAM
1: Scottish name derived from the word gleann, meaning "valley." | male. GLEN
1: Scottish surname of Norman French origin, transferred to English forename use, from the name of various places in Normandy called Malleville, meaning "bad settlement." | male. MELVILLE
1: Scottish surname transferred to English forename use, composed of the Old English elements hamel "blunt, crooked, flat-topped" and dun "hill," hence "flat-topped hill." | male. HAMILTON
1: Scottish surname transferred to English forename use, composed of the Welsh elements ir/yr "fresh, green" and afon "water," hence "fresh water" or "green water." | male. IRVING
1: Scottish surname transferred to English forename use, from the Celtic name of a river, composed of the Welsh elements ir/yr "fresh, green" and afon "water," hence "fresh water" or "green water." | male. IRVINE
1: Scottish surname transferred to English forename use, from the medieval Swedish personal name Lagman, meaning "lawman." | male. LAMONT
1: Scottish surname transferred to English forename use, meaning "from the marshland." | male. KERR
1: Scottish surname transferred to English unisex forename use, composed of the name Lincoln and the Old English word ey "wetland," hence "Lincoln's wetlands." In Scotland, this is strictly a masculine name. | female. LINDSAY
1: Scottish surname transferred to English unisex forename use, composed of the name Lincoln and the Old English word ey "wetland," hence "Lincoln's wetlands." In Scotland, this is strictly a masculine name. | male. LINDSAY
1: Scottish surname transferred to forename use, derived from the Gaelic word ros, meaning "headland, promontory." | male. ROSS
1: Scottish surname transferred to forename use, from an Anglicized form of Gaelic Dùbhghlas, meaning "black stream." | male. DOUGLAS
1: Scottish surname transferred to forename use, from an Anglicized form of Gaelic Muireadhach, meaning "sea warrior." | male. MURDOCK
1: Scottish surname transferred to forename use, from an Anglicized form of Gaelic Ó Duibhín "descendant of Duibhín," hence "little black one." | male. DAVIN
1: Scottish surname transferred to forename use, from an Anglicized form of Scottish Gaelic Muireach, meaning "sea warrior." | male. MURRAY
1: Scottish surname transferred to forename use, from a Norman baronial place name in France called "Saint-Clair." | male. SINCLAIR
1: Scottish surname transferred to forename use, from a place name possibly meaning "to wander." | male. ERROL
1: Scottish surname transferred to forename use, from the name of a place in Berwickshire composed of the Welsh elements gor "spacious" and din "fort," hence "spacious fort." | male. GORDON
1: Scottish surname transferred to forename use, from the Norman French phrase de l'isle, meaning "from the island." | male. LYLE
1: Scottish surname transferred to forename use, possibly meaning "woods; thicket." It was originally a Norman French baronial name but the exact location from which it was derived has not been identified and the number of possibilities are numerous. In use by the English. | male. BRUCE
1: Scottish surname transferred to forename use, probably derived from a Celtic word meaning "forest, wood." | male. KEITH
1: Scottish surname transferred to unisex forename use, derived from a contracted form of Gregor, meaning "watchful; vigilant." | male. GREER
1: Scottish surname transferred to unisex forename use, from an Anglicized form of Gaelic Mac Coinnich "son of Coinneach," hence "comely; finely made." | female. MACKENZIE
1: Scottish surname transferred to unisex forename use, from an Anglicized form of Gaelic Mac Coinnich "son of Coinneach," hence "comely; finely made." | male. MACKENZIE
1: Scottish surname transferred to unisex forename use, from an Anglicized form of Gaelic P� islig, possibly derived from Late Latin basilica, meaning "church." | male. PAISLEY
1: Scottish surname transferred to unisex forename use, from an Anglicized form of Gaelic P� islig, possibly meaning "church." | female. PAISLEY
1: Scottish surname transferred to unisex forename use, from the name of a place in Ayrshire, meaning "hollow, lowland." | female. LOGAN
1: Scottish surname transferred to unisex forename use, from the name of the great Highland clans whose ancestor had an ungraceful proboscis, composed of the Gaelic elements cam "bent, crooked" and sròn "nose," hence "crooked nose." | female. CAMERON
1: Scottish surname transferred to unisex forename use, from the name of the great Highland clans whose ancestor had an ungraceful proboscis, composed of the Gaelic elements cam "bent, crooked" and sròn "nose," hence "crooked nose." | male. CAMERON
1: Scottish surname transferred to unisex forename use, from the place name Lesslyn in Aberdeenshire which got its name from Gaelic leas cuilinn, meaning "garden of hollies." | female. LESLIE
1: Scottish unisex name derived from any of a number of places in Scotland called Blair, derived from the Gaelic word bl� r, meaning "field, plain," most often referring to a "battlefield." | female. BLAIR
1: Short form of English names beginning with Al-. Compare with another form of Al. | male. AL
1: Short form of English names beginning with Ty-. | male. TY
1: Short form of English names ending with -isha or -licia. | female. LISHA
1: Short form of English names ending with -licia. | female. LICIA
1: Short form of English names ending with -lina. Compare with other forms of Lina. | female. LINA
1: Short form of Italian names ending with -tina. | female. TINA
1: Slovene form of English Margaret, meaning "pearl." | female. MARJETA
1: Spanish name derived from a title of the Virgin Mary, María de las Mercedes ("Mary of Mercies"), meaning "mercies." | female. MERCEDES
1: Spanish name derived from a title of the Virgin Mary, Maria de los Dolores ("Mary of Sorrows"), hence "sorrows." | female. DOLORES
1: Surname transferred to forename use, derived from Old English brocc meaning "badger." | male. BROCK
1: Swiss pet form of Old High German Adalheid, meaning "noble sort." | female. HEIDI
1: The origin of the American southern "Dixie" is uncertain; however, Louisiana dollars had the French word dix printed on them, meaning "tenth," and this may have been what inspired the song about "the land of dixies," and later the name itself. | female. DIXIE
1: This English name first appeared in the 1920s and is probably a blend of Cherie "darling" and the gem name Beryl, hence "darling beryl." | female. CHERYL
1: This English name is usually chosen for its association with the butterfly genus. Its origin remains uncertain despite the claim that it was invented by Jonathan Swift, author of Gulliver's Travels, for his intimate friend Esther Vanhomrigh. Supposedly he created it by combining the first syllable of her surname, Van-, with her first name, Esther, or the suffix -essa; but, if he created it at all, it is more likely that he based it on the Greek name Phanessa, substituting the "Ph" with the "V" from Esther's surname. Besides, the name may have existed before Swift's time. Phanessa is a feminine form of Orphic Phanes, the name of a primeval, hermaphroditic golden-winged god, meaning "bring to light; make appear." | female. VANESSA
1: This name became popular as a boy's name after the making of the Star Wars saga by George Lucas, who named his Darth Vader character after the surname of director Ken Annakin, a variant spelling of the Low German female personal name Anniken, a form of Hannah, meaning "favor; grace." | male. ANAKIN
