AGAF|Afutara Airport|Afutara
SBMG|Maringá - Sílvio Name Júnior Regional Airport|Maringá, Paraná
SBMK|Montes Claros Airport|Montes Claros, Minas Gerais
SBML|Marília Airport|Marília, São Paulo
SBMN|Ponta Pelada Airport|Manaus, Amazonas
SBMO|Zumbi dos Palmares Airport (Campo dos Palmares)|Maceió, Alagoas
SBMQ|Macapá International Airport|Macapá, Amapá
SBMS|Dix Sept Rosado Airport|Mossoró, Rio Grande do Norte
SBMT|Campo de Marte Airport|São Paulo, São Paulo
SBMY|Manicoré Airport|Manicoré, Amazonas
SBNF|Ministro Victor Konder International Airport|Navegantes, Santa Catarina
SBNM|Santo Ângelo Airport|Santo Ângelo, Rio Grande do Sul
SBNT|Augusto Severo International Airport|Natal, Rio Grande do Norte
SBOI|Oiapoque Airport|Oiapoque, Amapá
SBOU|Ourinhos Airport|Ourinhos, São Paulo
SBPA|Salgado Filho International Airport|Porto Alegre, Rio Grande do Sul
SBPB|Parnaíba-Prefeito Dr. João Silva Filho International Airport|Piauí, Parnaíba
SBPC|Poços de Caldas Airport|Poços de Caldas, Minas Gerais
SBPF|Lauro Kurtz Airport|Passo Fundo, Rio Grande do Sul
SBPG|Paranaguá Airport|Paranaguá, Paraná
SBPI|Pico do Couto Airport|Petrópolis, Rio de Janeiro
SBPJ|Palmas Airport|Palmas, Tocantins
SBPK|Pelotas Airport|Pelotas, Rio Grande do Sul
SBPL|Petrolina Airport|Petrolina, Pernambuco
SBPN|Porto Nacional Airport|Porto Nacional, Goiás
SBPP|Ponta Porã International Airport|Ponta Porã, Mato Grosso do Sul
SBPS|Porto Seguro Airport|Porto Seguro, Bahia
SBPV|Governador Jorge Teixeira de Oliveira International Airport|Porto Velho, Rondônia
SBQV|Vitória da Conquista Airport|Vitória da Conquista, Bahia
SBRB|Rio Branco International Airport(Presidente Medici Airport)|Rio Branco, Acre
SBRF|Guararapes International Airport (Gilberto Freyre Int'l)|Recife, Pernambuco
SBRG|Rio Grande Airport|Rio Grande, Rio Grande do Sul
SBRJ|Santos Dumont Regional Airport|Rio de Janeiro, Rio de Janeiro
SBRP|Leite Lopes Airport|Ribeirão Preto, São Paulo
SBSC|Santa Cruz Air Force Base|Santa Cruz, Rio de Janiero
SBSJ|São José dos Campos Regional Airport|São José dos Campos, São Paulo
SBSL|Marechal Cunha Machado International Airport|São Luís, Maranhão
SBSM|Santa Maria Airport|Santa Maria, Rio Grande do Sul
SBSN|Santarém-Maestro Wilson Fonseca Airport|Santarém, Pará
SBSP|Congonhas-São Paulo International Airport|São Paulo, São Paulo
SBSR|São José do Rio Preto Airport|São José do Rio Preto, São Paulo
SBST|Santos Air Base|Santos, São Paulo
SBSV|Deputado Luís Eduardo Magalhães International Airport (Dois de Julho Airport)|Salvador, Bahia
SBSY|Santa Isabel do Morro Airport|Santa Isabel do Morro, Tocantins
SBTA|Heliponto Airport|Taubaté, São Paulo
SBTB|Trombetas Airport|Trombetas, Pará
SBTE|Teresina Airport|Teresina, Piauí
SBTF|Tefé Airport|Tefé, Amazonas
SBTK|Tarauacá Airport|Tarauacá, Acre
SBTL|Telêmaco Borba Airport|Telêmaco Borba, Paraná
SBTS|Óbidos Airport|Óbidos, Pará
SBTT|Tabatinga International Airport|Tabatinga, Amazonas
SBTU|Tucuruí Airport|Tucuruí, Pará
SBTX|Tubarão Airport|Tubarão, Santa Catarina
SBUA|São Gabriel da Cachoeira Airport|São Gabriel da Cachoeira, Amazonas
SBUF|Paulo Afonso Airport|Paulo Afonso, Bahia
SBUG|Rubem Berta Airport|Uruguaiana, Rio Grande do Sul
SBUL|Ten. Cel. Av. César Bombonato Airport|Uberlândia, Minas Gerais
SBUP|Urubupungá Airport|Urubupungá, São Paulo
SBUR|Uberaba Airport|Uberaba, Minas Gerais
SBVG|Major Brigadeiro Trompowsky Airport|Varginha, Minas Gerais
SBVH|Vilhena Airport|Vilhena, Rondônia
SBVT|Goiabeiras Airport|Vitória, Espírito Santo
SBWX|Santarém Airport|Santarém, Pará
SBYS|Campo Fontenelle Airport|Pirassununga, São Paulo
SDAE|São Pedro Municipal Airport|São Pedro, São Paulo
SDAG|Angra dos Reis Airport|Angra dos Reis, Rio de Janeiro
SDAM|Aerodromo de Amarais|Campinas, São Paulo
SDCO|Sorocaba Airport|Sorocaba, São Paulo
SDIL|Fazenda Pedra Branca Airport|Angra dos Reis, Rio de Janeiro
SDJD|Jundiaí Airport|Jundiaí, São Paulo
SDLP|Lençóis Paulista Airport|Lençóis Paulista, São Paulo
SDRS|Resende Airport|Resende, Rio de Janeiro
SDRR|Avaré Airport|Avaré, São Paulo
SDSC|São Carlos Airport|São Carlos, São Paulo
SIAB|Leda Mello Resende Airport|Três Pontas, Minas Gerais
SIMK|Franca Airport (was SBFC)|Franca, São Paulo
SIFV|Aeródromo Primo Bitti|Aracruz, Espírito Santo
SJAU|Araguacema Airport|Araguacema, Tocantins
SJBY|João Silva Airport|Santa Inês, Maranhão
SJDB|Bonito Airport|Bonito, Mato Grosso do Sul
SJGU|Araguatins Airport|Araguatins, Tocantins
SJTC|Bauru-Arealva Airport|Bauru/Arealva, São Paulo
SJUR|Terravista Resort|Trancoso, Bahia
SNAG|Araguari Airport|Araguari, Minas Gerais
SNAI|Alto Parnaíba Airport|Alto Parnaíba, Maranhão
SNAR|Almenara Airport|Almenara, Minas Gerais
SNBL|Belmonte Airport|Belmonte, Bahia
SNBR|Barreiras Airport|Barreiras, Bahia
SNDM|Chapada Daimantina Airport|Lençóis, Bahia
SNEC|Outeiro das Brisas Airport|Porto Seguro, Bahia
SNFE|Alfenas Airport|Alfenas, Minas Gerais
SNGI|Guanambi Airport|Guanambi, Bahia
SNHA|Itabuna Airport|Itabuna, Bahia
SNMU|Mucuri Airport|Mucuri, Bahia
SNMZ|Pôrto de Moz Airport|Pôrto de Moz, Pará
SNOB|Sobral Airport|Sobral, Ceará
SNSM|Salinópolis Airport|Salinópolis, Pará
SNSW|Soure Airport|Soure, Pará
SNTO|Teófilo Otoni Airport|Teófilo Otoni, Minas Gerais
SNVB|Valença Airport|Valença, Bahia
SNVS|Breves Airport|Breves, Pará
SNWC|Camocim Airport|Camocim, Ceará
SNYE|Pinheiro Airport|Pinheiro, Maranhão
SSAL|Federal Airport|Alegrete, Rio Grande do Sul
SSAP|Apucarana Airport|Apucarana, Paraná
SSBL|Blumenau Airport|Blumenau, Santa Catarina
SSCK|Concordia Airport|Concordia, Amazonas
SSCN|Canela Airport|Canela, Rio Grande do Sul
SSDO|Dourados Airport|Dourados, Minas Gerais
SSER|Erechim Airport|Erechim, Rio Grande do Sul
SSGB|Guaratuba Airport|Guaratuba, Paraná
SSIJ|Ijuí Airport|Ijuí, Rio Grande do Sul
SSIQ|Itaqui Airport|Itaqui, Rio Grande do Sul
SSKM|Campo Mourão Airport|Campo Mourão, Paraná
SSLI|Dos Galpoes Airport|Santana do Livramento, Rio Grande do Sul
SSPB|Pato Branco Airport|Pato Branco, Paraná
SSPG|Paranaguá Airport|Paranaguá, Paraná
SSPS|Palmas Airport|Palmas, Paraná
SSUV|União da Vitória Airport|União da Vitória, Paraná
SSVI|Videira Airport|Videira, Santa Catarina
SSVN|Veranópolis Airport|Veranópolis, Rio Grande do Sul
SSZR|Santa Rosa Airport|Santa Rosa, Rio Grande do Sul
SWBC|Barcelos Airport|Barcelos, Amazonas
SWBR|Borba Airport|Borba, Amazonas
SWCA|Carauari Airport|Carauari, Amazonas
SWJI|Ji-Paraná Airport|Ji-Paraná, Rondônia
SWKC|Cáceres Airport|Cáceres, Minas Gerais
SWKN|Caldas Novas Airport|Caldas Novas, Goiás
SWKO|Coari Airport|Coari, Amazonas
SWKT|Catalão Airport|Catalão, Goiás
SWLC|General Leite de Castro Airport|Rio Verde, Goiás
SWNK|Novo Campo Airport|Boca do Acre, Amazonas
SWNS|Anapolis Airport|Anapolis, Goiás
SWNV|Aeródromo Nacional de Aviação|Goiânia, Goiás
SWPI|Julio Belem Airport|Parintins, Amazonas
SWRD|Rondonópolis Airport|Rondonópolis, Mato Grosso
SWSI|Sinop Airport|Sinop, Mato Grosso
SWXV|Nova Xavantina Airport|Nova Xavantina, Mato Grosso
SWYM|Fazenda Anhanguera Airport|Pontes e Lacerda, Mato Grosso
SCAC|Pupelde Airport|Ancud
SCAG|El Avellano Airport|Los Angeles
SCAP|Alto Palena Airport|Alto Palena
SCAR|Chacalluta International Airport|Arica
SCBA|Balmaceda Airport|Balmaceda
SCBE|Barriles Airport|Tocopilla
SCCC|Chile Chico Airport|Chile Chico
SCCF|El Loa Airport|Calama
SCCH|General Bernardo O'Higgins Airport|Chillán
SCCI|Carlos Ibanez Del Campo International Airport|Punta Arenas
SCCY|Teniente Vidal Airport|Coyhaique
SCDA|Diego Aracena International Airport|Iquique
SCEL|Comodoro Arturo Merino Benítez International Airport|Santiago
SCES|El Salvador Bajo Airport|El Salvador
SCFA|Cerro Moreno International Airport|Antofagasta
SCFM|Capitan Fuentes Martinez Airport|Porvenir
SCGZ|Guardia Marina Zañartu Airport|Puerto Williams
SCHA|Chamonate Airport|Copiapó
SCHR|Cochrane Airport|Cochrane
SCIC|General Freire Airport|Curicó
SCIE|Carriel Sur International Airport|Concepción
SCIP|Mataveri International Airport|Easter Island (Isla de Pascua)
SCIR|Robinson Crusoe Airport|Juan Fernandez Islands
SCJO|Canal Bajo Airport|Osorno
SCKU|Chuquicamata Airport|Chuquicamata
SCLC|Santiago Municipal de Vitacura|Santiago
SCLL|Vallenar Airport|Vallenar
SCNT|Teniente Julio Gallardo Airport|Puerto Natales
SCOV|Ovalle Tuqui Airport|Ovalle Tuqui
SCPC|Pucón Airport|Pucón
SCRA|Chanaral Airport|Chanaral
SCRG|De La Independencia Airport|Rancagua
SCRM|Teniente R. Marsh Airport|Teniente Roldofo Marsh Martin Base and Villa Las Estrellas
SCSB|Franco Blanco Airport|Cerro Sombrero
SCSE|La Florida Airport|La Serena
SCST|Gamboa Airport|Castro
SCTC|Maquehue Airport|Temuco
SCTE|El Tepual International Airport|Puerto Montt
SCTI|Los Cerrillos Airport|Santiago
SCTL|Panguilemo Airport|Talca
SCTN|Chaiten Airport|Chaiten
SCTO|Victoria Airport|Victoria
SCTT|Las Breas Airport|Taltal
SCVA|Valparaíso Airport|Valparaíso
SCVD|Pichoy Airport|Valdivia
SCVL|Las Marías Airport|Valdivia
SCVM|Viña Del Mar Airport|Viña del Mar
SEAM|Chachoan Airport|Ambato
SEBC|Los Perales Airport|Bahia de Caraquez
SECE|Santa Cecilia Airport|Santa Cecilia
SECO|Francisco de Orellana Airport|Coca
SECU|Mariscal Lamar Airport|Cuenca
SEES|General Rivadeneira Airport|Esmeraldas
SEGS|Seymour Airport|Galápagos (Baltra)
SEGU|José Joaquín de Olmedo International Airport|Guayaquil
SEJI|Jipijapa Airport|Jipijapa
SELT|Cotopaxi International Airport|Latacunga
SELA|Lago Agrio Airport|Lago Agrio
SELO|Camilo Ponce Enriquez Airport|Loja
SEMA|J.M. Velasco Ibarra Airport|Macara
SEMC|Macas Airport|Macas
SEMH|General M. Serrano Airport|Machala
SEMT|Eloy Alfaro International Airport|Manta
SEPA|Rio Amazonas Airport|Pastaza
SEPD|Pedernales Airport|Pedernales
SEPT|Putumayo Airport|Putumayo
SEPV|Reales Tamarindos Airport|Portoviejo
SEQU|Mariscal Sucre International Airport|Quito
SESA|General Ulpiano Paez Airport|Salinas
SESC|Sucua Airport|Sucua
SEST|San Cristóbal Airport|San Cristóbal Island, Galápagos Islands
SETH|Taisha Airport|Taisha
SETI|Tiputini Airport|Tiputini
SETR|Tarapoa Airport|Tarapoa
SETU|Teniente Coronel Luis a Mantilla International Airport|Tulcán
SFAL|Port Stanley Airport|Stanley, Falkland Islands
SGAS|Silvio Pettirossi International Airport|Asunción
SGAY|Juan de Ayolas Airport|Ayolas
SGCO|Teniente Coronel Carmelo Peralta Airport|Concepción
SGEN|Teniente Primero Alarcón Airport|Encarnacion
SGES|Guaraní International Airport|Ciudad Del Este
SGFI|Fernheim Airport|Filadelfia
SGME|Dr. Luis Maria Argaña International Airport|Mariscal Estigarribia
SGPI|Carlos Miguel Gimenez Airport|Pilar
SGPJ|Augusto R. Fuster International Airport|Pedro Juan Caballero
SKAC|Araracuara Airport|Araracuara
SKAD|Alcides Fernández Airport|Acandí
SKAG|Hacaritama Airport|Aguachica
SKAM|Amalfi Airport|Amalfi
SKAN|Andes Airport|Andes
SKAP|Gomez Nino-Apiay Airport|Apiay
SKAR|El Edén International Airport|Armenia
SKAS|Tres de Mayo Airport|Puerto Asís
SKBC|Las Flores Airport|El Banco
SKBG|Palonegro Airport|Lebrija (near Bucaramanga)
SKBO|El Dorado International Airport|Bogotá
SKBQ|Ernesto Cortissoz International Airport|Barranquilla
SKBS|José Celestino Mutis Airport|Bahía Solano
SKBU|Gerardo Tobar López Airport|Buenaventura
SKCA|Capurganá Airport|Capurganá
SKCC|Camilo Daza International Airport|Cúcuta
SKCD|Mandinga Airport|Condoto
SKCG|Rafael Núñez International Airport|Cartagena
SKCI|Carimagua Airport|Carimagua
SKCL|Alfonso Bonilla Aragón International Airport|Cali
SKCM|Cimitarra Airport|Cimitarra
SKCO|La Florida Airport|Tumaco
SKCU|Caucasia Airport|Caucasia
SKCV|Coveñas Airport|Coveñas
SKCZ|Las Brujas Airport|Corozal
SKEB|El Bagre Airport|El Bagre
SKEJ|Yarigüies Airport|Barrancabermeja
SKFL|Gustavo Artunduaga Paredes Airport|Florencia
SKGI|Santiago Vila Airport|Girardot
SKGO|Santa Ana Airport|Cartago
SKGP|Guapi Airport|Guapi
SKHA|Chaparral Airport|Chaparral
SKHC|Hato Corozal Airport|Hato Corozal
SKIB|Perales Airport|Ibagué
SKIG|Chigorodó Airport|Chigorodó
SKIP|San Luis Airport|Ipiales
SKIU|Tibú Airport|Tibú
SKLC|Antonio Roldán Betancourt Airport|Apartadó
SKLG|Caucaya Airport|Puerto Leguízamo
SKLM|La Mina Airport|Maicao
SKLP|La Pedrera Airport|La Pedrera
SKLT|Alfredo Vásquez Cobo International Airport|Leticia
SKMD|Olaya Herrera Airport|Medellín
SKMF|Miraflores Airport|Miraflores
SKMG|Baracoa Airport|Magangué
SKMR|Los Garzones Airport|Montería
SKMU|Fabio Alberto León Bentley Airport|Mitú
SKMZ|La Nubia Airport|Manizales
SKNC|Antioquia Airport|Necoclí
SKNQ|Reyes Murillo Airport|Nuquí
SKNV|Benito Salas|Neiva
SKOC|Aguas Claras Airport|Ocaña
SKOE|Orocue Airport|Orocue
SKOT|Otu Airport|Otu
SKPB|Puerto Bolívar Airport|Guajira Department
SKPC|Puerto Carreño Airport|Puerto Carreño
SKPD|Obando Airport|Puerto Inírida
SKPE|Matecaña International Airport|Pereira
SKPI|Pitalito Airport|Pitalito
SKPL|Plato Airport|Plato
SKPP|Guillermo León Valencia Airport|Popayán
SKPQ|German Olano AB|Palanquero
SKPS|Antonio Narino Airport|Pasto
SKPV|El Embrujo Airport|Providencia Island
SKPZ|Paz de Ariporo Airport|Paz de Ariporo
SKQU|Mariquita Airport|Mariquita
SKRG|José María Córdova International Airport|Medellín/Rionegro
SKRH|Almirante Padilla Airport|Riohacha
SKSA|Los Colonizadores Airport|Saravena
SKSJ|Jorge Enrique González Airport|San José del Guaviare
SKSM|Simón Bolívar International Airport|Santa Marta
SKSP|Gustavo Rojas Pinilla International Airport (Sesquicentenario Airport)|San Andrés Island
SKSR|San Marcos Airport|San Marcos
SKSV|Eduardo Falla Solano Airport|San Vicente del Caguán
SKTD|Trinidad Airport|Trinidad
SKTJ|Gustavo Rojas Pinilla Airport|Tunja
SKTM|Tame Airport|Tame
SKTQ|Tres Esquinas AB|Tres Esquinas
SKTU|Gonzalo Mejía Airport|Turbo
SKUA|Marandúa AB|Marandúa
SKUC|Santiago Pérez Airport|Arauca
SKUI|El Caraño Airport|Quibdó
SKUL|Farfan Airport|Tuluá
SKUR|Urrao Airport|Urrao
SKVG|Villa Garzón Airport|Villa Garzón
SKVP|Alfonso López Pumarejo Airport|Valledupar
SKVV|La Vanguardia Airport|Villavicencio
SKYA|Yaguara Airport|Yaguara
SKYP|El Alcaraván Airport|Yopal
SLAP|Apolo Airport|Apolo
SLAS|Ascenscion de Guarayos Airport|Ascencion de Guarayos
SLBJ|Bermejo Airport|Bermejo
SLBN|Bella Union Airport|Bella Union
SLCA|Camiri Airport|Camiri
SLCB|Jorge Wilstermann International Airport|Cochabamba
SLCO|Capitan Anibal Arab Airport|Cobija
SLCP|Concepcion Airport|Concepción
SLET|El Trompillo Airport|Santa Cruz
SLGY|Guayaramerín Airport|Guayaramerin
SLJE|San Jose de Chiquitos Airport|San José de Chiquitos
SLJO|San Joaquin Airport|San Joaquin
SLJV|San Javier Airport|San Javier
SLLP|El Alto International Airport|La Paz
SLMG|Magdalena Airport|Magdalena
SLOR|Oruro Airport|Oruro
SLPO|Capitan Nicolas Rojas Airport|Potosí
SLPR|Puerto Rico Airport|Puerto Rico
SLPS|Puerto Suárez International Airport|Puerto Suarez
SLRA|San Ramon Airport|San Ramon
SLRB|Robore Airport|Robore
SLRI|Riberalta Airport|Riberalta
SLRQ|Rurrenabaque Airport|Rurrenabaque
SLRY|Reyes Airport|Reyes
SLSA|Santa Ana del Yacuma Airport|Santa Ana del Yacuma
SLSB|Capitán Germán Quiroga Guardia Airport|San Borja
SLSI|San Igancio de Velasco Airport|San Ignacio de Velas
SLSM|San Ignacio de Moxos Airport|San Ignacio de Moxos
SLSU|Juana Azurduy de Padilla International Airport|Sucre
SLTJ|Capitán Oriel Lea Plaza Airport|Tarija
SLTR|Teniente Jorge Henrich Arauz Airport|Trinidad
SLVM|Villamontes Airport|Villamontes
SLVR|Viru Viru International Airport|Santa Cruz
SLYA|Yacuiba Airport|Yacuiba
SMBN|Albina Airstrip|Albina
SMCI|Coeroenie Airstrip|Coeroeni
SMCO|Totness Airstrip|Totness, Coronie District
SMDA|Drietabbetje Airstrip|Drietabbetje
SMJP|Johan Adolf Pengel International Airport (Zanderij Int'l)|Zanderij
SMKA|Kabalebo Airstrip|Kabalebo
SMKE|Kayser Airstrip|Kayser
SMNI|Nieuw-Nickerie Airport|Nieuw-Nickerie (New Nickerie)
SMPA|Vincent Fayks Airport|Paloemeu
SMST|Stoelmans Eiland Airstrip|Stoelmans Eiland
SMTB|Tafelberg Airstrip|Tafelberg
SMWA|Wageningen Airstrip|Wageningen
SMZO|Zorg en Hoop Airport|Paramaribo
SOCA|Cayenne-Rochambeau Airport|Cayenne
SOOA|Maripasoula Airport|Maripasoula
SOOG|Saint-Georges-de-l'Oyapock Airport|Saint-Georges-de-l'Oyapock
SOOM|Saint-Laurent-du-Maroni Airport|Saint-Laurent-du-Maroni
SOOR|Régina Airport|Régina
SOOS|Saül Airport|Saül
SOOY|Sinnamary Airport|Sinnamary
SPAO|San Juan Aposento Airport|San Juan Aposento
SPAR|Alerta Airport|Alerta, Ucayali Region
SPAS|Alferez FAP Alfredo Vladimir Sara Bauer Airport|Andoas, Loreto Region
SPAY|Tnte. Gral. Gerardo Pérez Pinedo Airport|Atalaya, Ucayali Region
SPBB|Moyobamba Airport|Moyobamba, San Martín Region
SPBC|Caballococha Airport|Caballococha, Loreto Region
SPBL|Huallaga Airport|Bellavista, San Martín Region
SPBR|Iberia Airport|Iberia
SPBS|Bellavista Airport|Jeberos, Loreto Region
SPCH|Tocache Airport|Tocache, San Martín Region
SPCL|Capitán Rolden Airport (or Capitán FAP David Abenzur Rengifo Airport)|Pucallpa, Ucayali Region
SPCM|Contamana Airport|Contamana, Loreto Region
SPDR|Trompeteros Airport|Corrientes
SPEO|Teniente FAP Jaime A. de Montreuil Morales Airport|Chimbote, Ancash Region
SPEQ|Cesar Torque Podesta Airport|Moquegua, Moquegua Region
SPGM|Tingo María Airport|Tingo María, Huánuco Region
SPHI|Capitán FAP José A. Quiñones Gonzales Airport|Chiclayo, Lambayeque Region
SPHO|Coronel FAP Alfredo Mendívil Duarte Airport|Ayacucho, Ayacucho Region
SPHU|Huancayo Airport|Huancayo, Junín Region
SPHV|Huánuco Viejo Airport|Huánuco Viejo, Huánuco Region
SPHY|Andahuaylas Airport|Andahuaylas, Apurímac Region
SPHZ|Comandante FAP Germán Arias Graziani Airport|Anta/Huaraz, Ancash Region
SPIL|Quince Mil Airport|Quince Mil, Cusco Region
SPIM|Jorge Chávez International Airport|Callao/Lima, Lima Metropolitan Area
SPIP|Satipo Airport|Satipo
SPIZ|Uchiza Airport|Uchiza
SPJA|Juan Simons Vela Airport|Rioja, San Martín Region
SPJB|Pampa Grande Airport|Cajabamba, Cajamarca Region
SPJE|Shumba Airport|Jaén, Cajamarca Region
SPJI|Juanjuí Airport|Juanjuí, San Martín Region
SPJJ|Francisco Carle Airport|Jauja, Junín Region
SPJL|Inca Manco Cápac International Airport|Puno/Juliaca, Puno Region
SPJN|San Juan de Marcona Airport|San Juan de Marcona
SPJR|Major General FAP Armando Revoredo Iglesias Airport|Cajamarca, Cajamarca Region
SPLC|Mariano Melgar Airport|La Joya, Arequipa Region
SPLN|San Nicolas Airport|Rodriquez de Mendoza
SPLO|Ilo Airport|Ilo, Moquegua Region
SPLP|Las Palmas Air Base (military)|Barranco, Lima Province
SPME|Capitán FAP Pedro Canga Rodríguez Airport|Tumbes, Tumbes Region
SPMF|Manuel Prado Ugarteche Airport|Mazamari, Junín Region
SPMR|Santa Maria Airport, Peru|Santa Maria
SPMS|Moisés Benzaquen Rengifo Airport|Yurimaguas, Loreto Region
SPNC|Alférez FAP David Figueroa Fernandini Airport|Huánuco, Huánuco Region
SPOA|Saposoa Airport|Saposoa
SPOV|Shiringayoc/Hacienda Mejia Airport|Leon Velarde
SPPY|Chachapoyas Airport|Chachapoyas, Amazonas Region
SPQN|Requena Airport|Requena, Loreto Region
SPQT|Coronel FAP Francisco Secada Vignetta Airport|Iquitos, Loreto Region
SPQU|Rodríguez Ballón International Airport|Arequipa, Arequipa Region
SPRF|San Rafael Airport (Peru)|San Rafael
SPRM|Capitán FAP Leonardo Alvariño Herr Airport|San Ramón, Junín Region
SPRU|Capitán FAP Carlos Martínez de Pinillos Airport|Trujillo, La Libertad Region
SPSF|San Francisco Airport|San Francisco
SPSO|Capitán FAP Renán Elías Olivera Airport|Pisco, Ica Region
SPSP|San Pablo Airport|San Pablo, Cajamarca Region
SPST|Comandante FAP Guillermo del Castillo Paredes Airport|Tarapoto, San Martín Region
SPSY|Shiringayoc Airport|Shiringayoc
SPTN|Coronel FAP Carlos Ciriani Santa Rosa Airport|Tacna, Tacna Region
SPTP|El Pato Air Base|Talara, Piura Region
SPTU|Padre José de Aldamiz International Airport|Puerto Maldonado, Madre de Dios Region
SPUR|Capitán FAP Guillermo Concha Iberico Airport|Piura/Talara, Piura Region
SPVR|San Isidoro Airport|Vitor
SPVT|Mayor FAP Guillermo Protset del Castillo Airport|Vitor
SPYL|Capitán FAP Victor Montes Arias|Talara, Piura Region
SPZA|María Reiche Neuman Airport|Nazca, Ica Region
SPZO|Subteniente FAP Alejandro Velasco Astete International Airport|Cusco, Cusco Region
SUAG|Artigas Airport|Artigas
SUCA|Colonia Airport|Colonia
SUDU|Santa Bernardina International Airport|Durazno
SULS|Capitan Corbeta CA Curbelo International Airport|Maldonado
SUMO|Cerro Largo Airport|Melo
SUMU|Carrasco International Airport|Montevideo
SUPE|El Jaguel International Airport|Punta del Este
SUPU|Paysandú Airport|Paysandú
SURV|Rivera International Airport|Rivera
SUSO|Salto Airport|Salto
SUTB|Tacuarembó Airport|Tacuarembó
SUTR|Treinta y Tres Airport|Treinta y Tres
SUVO|Vichadero Airport|Vichadero
SVAC|Oswaldo Guevara Mujica Airport|Acarigua
